DATE;HOUR;MINUTE;AVG;MIN;MAX;HH;H;L;LL;MEASURE
20160124;1;;143.05;;;;;;;Rh/h
20160124;2;;142.82;;;;;;;Rh/h
20160124;3;;142.69;;;;;;;Rh/h
20160124;4;;142.82;;;;;;;Rh/h
20160124;5;;142.97;;;;;;;Rh/h
20160124;6;;142.7;;;;;;;Rh/h
20160124;7;;142.91;;;;;;;Rh/h
20160124;8;;142.89;;;;;;;Rh/h
20160124;9;;142.92;;;;;;;Rh/h
20160124;10;;142.96;;;;;;;Rh/h
20160124;11;;142.99;;;;;;;Rh/h
20160124;12;;142.87;;;;;;;Rh/h
20160124;13;;142.89;;;;;;;Rh/h
20160124;14;;142.88;;;;;;;Rh/h
20160124;15;;142.91;;;;;;;Rh/h
20160124;16;;142.99;;;;;;;Rh/h
20160124;17;;143.04;;;;;;;Rh/h
20160124;18;;143.05;;;;;;;Rh/h
20160124;19;;143.07;;;;;;;Rh/h
20160124;20;;143.06;;;;;;;Rh/h
20160124;21;;143.1;;;;;;;Rh/h
20160124;22;;143.04;;;;;;;Rh/h
20160124;23;;143.06;;;;;;;Rh/h
20160125;0;;143.11;;;;;;;Rh/h
20160125;1;;143.06;;;;;;;Rh/h
20160125;2;;143.1;;;;;;;Rh/h
20160125;3;;143.05;;;;;;;Rh/h
20160125;4;;143.02;;;;;;;Rh/h
20160125;5;;142.97;;;;;;;Rh/h
20160125;6;;143.05;;;;;;;Rh/h
20160125;7;;142.92;;;;;;;Rh/h
20160125;8;;143;;;;;;;Rh/h
20160125;9;;143.01;;;;;;;Rh/h
20160125;10;;143.07;;;;;;;Rh/h
20160125;11;;143.01;;;;;;;Rh/h
20160125;12;;143.03;;;;;;;Rh/h
20160125;13;;143.05;;;;;;;Rh/h
20160125;14;;143.09;;;;;;;Rh/h
20160125;15;;143.14;;;;;;;Rh/h
20160125;16;;143.01;;;;;;;Rh/h
20160125;17;;143.1;;;;;;;Rh/h
20160125;18;;143.06;;;;;;;Rh/h
20160125;19;;143.04;;;;;;;Rh/h
20160125;20;;143.1;;;;;;;Rh/h
20160125;21;;143.02;;;;;;;Rh/h
20160125;22;;143.08;;;;;;;Rh/h
